measure,test,chi2,df,p,n
effort,friedman,0.8738898756661279,4,0.9282764898581545,30
frustration,friedman,1.2472324723247217,4,0.8702625509759712,30
mental,friedman,1.1687840290381637,4,0.8832108948929005,30
performance,friedman,5.393829401088976,4,0.24922078379734122,30
physical,friedman,6.148409893993005,4,0.18833568979981563,30
satisfaction,friedman,4.322097378277182,4,0.364166225201385,30
sus,friedman,6.128913443830649,4,0.18972556691805245,30
temporal,friedman,1.3064220183486872,4,0.8602850026288812,30
