dv,Source,SS,ddof1,ddof2,MS,F,p_unc,p_GG_corr,ng2,eps
tct_ms_error_free,technique,8790.92702301449,4,116,2197.7317557536226,0.07501325926969452,0.9896692866320015,0.9851227238081796,2.2656120110679918e-05,0.9030731714542461
tct_ms_error_free,target_number,318594.2077666011,2,58,159297.10388330056,3.651067111742804,0.03210095340076281,0.038382395506039446,0.000820431117421361,0.8769262699508967
tct_ms_error_free,technique * target_number,471403.6193091989,8,232,58925.452413649866,1.6176901839371747,0.12056249224680674,0.1636945936235643,0.0012134623211613898,0.5853938530762196
