dv,Source,SS,ddof1,ddof2,MS,F,p_unc,p_GG_corr,ng2,eps
tct_ms_error_free,technique,57246274.192646235,4,116,14311568.548161559,488.48427441099375,1.4430819909346184e-71,7.093296838382945e-65,0.1285702044667491,0.9030731714793517
tct_ms_error_free,target_number,615355540.6491021,2,58,307677770.32455105,7051.931019844275,5.7137520908634807e-70,1.1712225537933065e-61,0.6132934610374448,0.8769262699656204
tct_ms_error_free,technique * target_number,471403.6193101406,8,232,58925.452413767576,1.6176901839405409,0.12056249224585774,0.16369459362275024,0.0012134623211638113,0.585393853075614
